person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
60,61744,RENT,7,MEDICAL,E,25000,10.22,0,0.4,N,16
44,77013,OWN,8,EDUCATION,A,2000,6.25,0,0.03,Y,10
52,39845,RENT,3,HOMEIMPROVEMENT,C,2000,12.96,0,0.05,N,8
42,36159,MORTGAGE,12,MEDICAL,E,30000,7.37,0,0.83,N,27
43,45059,OWN,8,DEBTCONSOLIDATION,A,30000,17.98,0,0.67,Y,25
22,54162,RENT,6,VENTURE,F,5000,11.73,0,0.09,N,13
47,35272,RENT,0,EDUCATION,A,20000,17.24,1,0.57,Y,29
62,40260,RENT,15,VENTURE,E,10000,20.27,0,0.25,N,21
22,59805,RENT,8,VENTURE,B,20000,18.59,1,0.33,N,25
46,53043,RENT,2,HOMEIMPROVEMENT,A,30000,20.22,1,0.57,N,15
37,44682,OWN,8,EDUCATION,B,2000,14.09,0,0.04,N,23
60,20526,OWN,9,MEDICAL,D,25000,7.65,0,1.22,N,17
53,48934,MORTGAGE,6,VENTURE,E,15000,19.97,0,0.31,N,20
29,30181,RENT,10,EDUCATION,D,15000,18.9,1,0.5,N,24
63,80140,OWN,7,MEDICAL,F,20000,18.83,1,0.25,N,4
59,42009,MORTGAGE,15,MEDICAL,E,35000,16.09,1,0.83,N,12
49,29788,RENT,0,VENTURE,A,2000,15.0,0,0.07,N,24
62,47535,RENT,1,MEDICAL,D,1000,5.24,0,0.02,N,22
46,92535,RENT,2,VENTURE,B,3000,16.97,0,0.03,Y,21
55,67198,OWN,9,HOMEIMPROVEMENT,C,35000,6.46,0,0.52,N,20
45,54718,MORTGAGE,8,DEBTCONSOLIDATION,A,25000,9.16,1,0.46,N,9
44,25259,MORTGAGE,15,MEDICAL,B,20000,13.82,0,0.79,N,21
33,110282,MORTGAGE,10,PERSONAL,D,1000,12.23,0,0.01,N,9
27,35924,MORTGAGE,6,MEDICAL,B,30000,5.25,1,0.84,Y,27
56,78189,RENT,15,EDUCATION,D,30000,18.18,1,0.38,N,4
40,41660,MORTGAGE,3,MEDICAL,F,20000,19.06,1,0.48,N,11
21,74514,OWN,13,MEDICAL,A,7500,15.91,0,0.1,Y,14
28,94224,RENT,5,VENTURE,D,2000,13.66,0,0.02,N,10
36,67783,OWN,8,HOMEIMPROVEMENT,D,20000,20.37,0,0.3,N,7
34,71533,RENT,10,HOMEIMPROVEMENT,A,25000,6.92,0,0.35,Y,16
32,46666,RENT,8,EDUCATION,D,2000,16.81,0,0.04,N,17
43,39458,MORTGAGE,1,VENTURE,B,20000,7.05,0,0.51,N,6
35,52530,OWN,5,EDUCATION,B,7500,11.11,0,0.14,N,22
48,41358,MORTGAGE,7,VENTURE,A,25000,14.37,1,0.6,N,14
54,168316,MORTGAGE,13,EDUCATION,C,15000,16.79,1,0.09,Y,20
22,29846,MORTGAGE,5,HOMEIMPROVEMENT,C,3000,5.06,0,0.1,N,3
52,80905,MORTGAGE,15,DEBTCONSOLIDATION,B,15000,9.17,0,0.19,N,7
43,63487,RENT,5,EDUCATION,B,10000,13.61,0,0.16,Y,28
42,54991,RENT,7,DEBTCONSOLIDATION,E,5000,13.53,0,0.09,N,2
45,102738,RENT,11,VENTURE,E,30000,15.2,0,0.29,N,16
42,56907,RENT,7,PERSONAL,C,1000,9.86,0,0.02,N,16
42,35687,RENT,15,VENTURE,B,7500,13.65,0,0.21,N,15
62,56719,MORTGAGE,9,VENTURE,A,1000,8.04,0,0.02,N,8
26,44730,MORTGAGE,6,HOMEIMPROVEMENT,E,2000,7.99,0,0.04,N,6
35,63047,RENT,0,DEBTCONSOLIDATION,A,7500,14.23,0,0.12,N,21
63,73610,RENT,5,VENTURE,A,2000,15.97,0,0.03,N,26
57,31903,RENT,3,DEBTCONSOLIDATION,C,20000,6.93,0,0.63,Y,27
53,89113,RENT,10,HOMEIMPROVEMENT,D,2000,6.96,0,0.02,N,17
28,43154,RENT,2,MEDICAL,C,25000,14.04,0,0.58,N,18
64,61194,MORTGAGE,2,EDUCATION,A,2000,9.32,0,0.03,N,12
64,66737,RENT,2,DEBTCONSOLIDATION,D,2000,11.28,0,0.03,N,16
25,58905,MORTGAGE,1,HOMEIMPROVEMENT,D,7500,11.41,0,0.13,N,21
59,46418,MORTGAGE,4,EDUCATION,D,30000,7.86,1,0.65,Y,17
24,38395,RENT,14,PERSONAL,B,20000,5.02,0,0.52,N,4
26,42851,RENT,11,EDUCATION,D,25000,18.65,1,0.58,N,7
52,107214,RENT,10,DEBTCONSOLIDATION,C,3000,16.44,1,0.03,Y,22
50,31795,RENT,11,HOMEIMPROVEMENT,C,30000,16.05,0,0.94,N,24
55,34213,RENT,3,PERSONAL,C,1000,13.74,0,0.03,N,14
60,33470,MORTGAGE,14,PERSONAL,B,5000,16.22,0,0.15,N,2
36,52463,RENT,1,HOMEIMPROVEMENT,B,20000,19.97,1,0.38,N,22
33,22871,OTHER,4,EDUCATION,A,10000,15.65,1,0.44,Y,15
62,24914,RENT,7,HOMEIMPROVEMENT,B,35000,9.24,0,1.4,N,3
50,43024,MORTGAGE,1,PERSONAL,C,1000,14.13,0,0.02,N,3
39,25748,MORTGAGE,10,PERSONAL,D,35000,12.08,0,1.36,N,28
37,26818,RENT,5,PERSONAL,A,20000,13.9,0,0.75,N,16
39,25844,RENT,11,VENTURE,F,15000,13.28,1,0.58,N,28
48,32102,MORTGAGE,6,HOMEIMPROVEMENT,B,2000,18.74,0,0.06,N,19
46,70659,OWN,2,HOMEIMPROVEMENT,B,7500,15.43,0,0.11,N,10
57,79051,RENT,10,DEBTCONSOLIDATION,A,35000,8.02,0,0.44,Y,27
46,127963,RENT,3,EDUCATION,D,10000,6.01,0,0.08,N,4
43,125640,RENT,6,MEDICAL,D,20000,11.79,1,0.16,Y,5
29,72631,RENT,0,PERSONAL,F,35000,5.25,0,0.48,N,16
32,81947,OWN,8,HOMEIMPROVEMENT,B,7500,10.09,0,0.09,Y,6
21,52341,MORTGAGE,9,PERSONAL,B,15000,10.89,0,0.29,Y,21
21,63572,RENT,4,HOMEIMPROVEMENT,D,20000,11.01,0,0.31,N,21
54,129547,RENT,15,HOMEIMPROVEMENT,D,3000,20.67,0,0.02,N,6
52,59018,RENT,14,VENTURE,F,3000,9.86,0,0.05,N,11
45,87257,OWN,9,DEBTCONSOLIDATION,B,10000,9.24,0,0.11,N,17
60,30724,OWN,10,HOMEIMPROVEMENT,D,10000,7.07,0,0.33,N,26
21,35132,RENT,3,DEBTCONSOLIDATION,A,25000,13.18,1,0.71,N,13
36,57298,RENT,9,VENTURE,C,2000,7.46,0,0.03,N,26
59,52836,OWN,2,DEBTCONSOLIDATION,A,35000,14.86,0,0.66,N,15
25,35955,RENT,1,EDUCATION,D,1000,7.48,0,0.03,N,23
42,163356,RENT,15,VENTURE,C,20000,14.23,0,0.12,N,12
49,53439,RENT,8,MEDICAL,A,15000,18.22,0,0.28,N,29
23,39286,RENT,5,EDUCATION,B,3000,5.68,0,0.08,Y,20
32,52881,RENT,3,HOMEIMPROVEMENT,B,3000,11.72,0,0.06,N,7
46,49647,OWN,8,VENTURE,B,25000,12.38,0,0.5,N,11
36,53846,MORTGAGE,0,MEDICAL,A,30000,17.66,1,0.56,N,21
57,22095,RENT,1,PERSONAL,B,7500,12.49,0,0.34,Y,4
42,93523,RENT,0,HOMEIMPROVEMENT,D,10000,14.08,1,0.11,N,23
49,96222,MORTGAGE,6,DEBTCONSOLIDATION,B,10000,17.66,0,0.1,N,16
34,102248,RENT,8,EDUCATION,B,2000,13.96,0,0.02,N,12
48,57682,RENT,0,HOMEIMPROVEMENT,F,20000,10.73,0,0.35,N,23
25,68271,RENT,10,MEDICAL,A,30000,6.37,0,0.44,N,3
50,31789,MORTGAGE,3,VENTURE,D,7500,16.68,1,0.24,N,26
25,74343,RENT,9,DEBTCONSOLIDATION,C,35000,18.94,1,0.47,N,25
32,55597,RENT,15,HOMEIMPROVEMENT,F,2000,20.52,0,0.04,N,7
36,38940,RENT,9,HOMEIMPROVEMENT,B,20000,19.83,1,0.51,Y,18
46,75536,RENT,14,MEDICAL,D,10000,17.76,1,0.13,N,29
46,77012,OWN,15,VENTURE,A,10000,15.3,0,0.13,Y,19
41,50529,MORTGAGE,6,PERSONAL,F,10000,17.5,1,0.2,N,5
59,61034,RENT,9,PERSONAL,B,5000,11.91,0,0.08,Y,24
56,29264,RENT,13,PERSONAL,C,25000,14.52,1,0.85,Y,10
53,91271,MORTGAGE,4,PERSONAL,A,25000,10.58,0,0.27,N,11
50,31275,RENT,3,PERSONAL,F,7500,10.23,0,0.24,N,22
57,34450,MORTGAGE,15,MEDICAL,D,30000,17.11,1,0.87,N,27
43,50572,MORTGAGE,10,VENTURE,A,7500,12.26,0,0.15,Y,3
30,85584,RENT,2,DEBTCONSOLIDATION,B,25000,8.39,0,0.29,N,12
25,85560,OWN,5,PERSONAL,B,3000,8.23,0,0.04,N,12
56,48902,RENT,11,HOMEIMPROVEMENT,B,3000,18.75,0,0.06,N,12
54,72150,RENT,7,EDUCATION,B,7500,15.84,0,0.1,N,2
51,21067,MORTGAGE,8,VENTURE,F,20000,13.74,0,0.95,N,27
30,34212,OWN,10,VENTURE,D,20000,11.42,0,0.58,N,15
39,34562,MORTGAGE,8,EDUCATION,F,10000,11.89,0,0.29,N,2
52,91684,MORTGAGE,7,MEDICAL,C,2000,5.92,0,0.02,N,22
21,68004,RENT,10,HOMEIMPROVEMENT,D,10000,12.28,0,0.15,Y,24
25,53762,MORTGAGE,10,PERSONAL,C,20000,17.73,0,0.37,N,26
24,56436,RENT,8,PERSONAL,B,20000,11.21,0,0.35,N,10
36,107384,MORTGAGE,4,PERSONAL,C,3000,11.14,0,0.03,N,25
44,45022,RENT,5,HOMEIMPROVEMENT,C,1000,5.25,0,0.02,N,2
36,25411,RENT,15,MEDICAL,F,25000,12.33,0,0.98,N,22
22,84423,OWN,1,DEBTCONSOLIDATION,C,2000,5.41,0,0.02,N,23
48,53686,RENT,3,MEDICAL,E,2000,14.13,0,0.04,N,23
52,78970,RENT,6,PERSONAL,D,1000,13.11,0,0.01,N,5
47,47935,RENT,13,EDUCATION,C,10000,18.44,0,0.21,N,2
40,32230,RENT,2,DEBTCONSOLIDATION,C,15000,14.31,1,0.47,N,20
44,59958,MORTGAGE,3,DEBTCONSOLIDATION,B,20000,10.17,0,0.33,N,11
32,49270,RENT,0,PERSONAL,A,7500,13.26,0,0.15,N,16
55,53770,RENT,9,EDUCATION,D,25000,16.2,1,0.46,N,21
53,110005,RENT,3,PERSONAL,E,3000,6.5,0,0.03,N,5
53,28300,RENT,5,MEDICAL,B,30000,14.94,1,1.06,N,21
63,56554,RENT,5,PERSONAL,F,15000,19.67,0,0.27,N,15
57,32548,RENT,15,DEBTCONSOLIDATION,B,20000,9.79,0,0.61,Y,6
32,13423,RENT,5,DEBTCONSOLIDATION,C,5000,15.03,1,0.37,N,16
23,47835,RENT,1,MEDICAL,B,2000,18.14,0,0.04,N,16
21,49787,OWN,6,HOMEIMPROVEMENT,A,15000,13.19,0,0.3,N,28
53,66953,OWN,15,HOMEIMPROVEMENT,A,20000,16.49,1,0.3,Y,26
60,43968,RENT,8,PERSONAL,B,2000,9.98,0,0.05,N,17
30,23283,RENT,15,PERSONAL,A,35000,9.9,0,1.5,N,17
63,32493,MORTGAGE,13,HOMEIMPROVEMENT,A,35000,15.68,1,1.08,N,5
64,94700,MORTGAGE,0,VENTURE,A,15000,16.29,0,0.16,N,26
49,32263,OWN,9,PERSONAL,A,35000,19.99,1,1.08,Y,10
33,108186,RENT,3,DEBTCONSOLIDATION,B,3000,8.6,0,0.03,N,2
32,82866,MORTGAGE,7,MEDICAL,C,1000,12.49,0,0.01,N,6
51,41819,OWN,3,DEBTCONSOLIDATION,E,1000,9.01,0,0.02,Y,10
22,34045,RENT,4,PERSONAL,B,20000,6.28,1,0.59,Y,21
55,82781,RENT,15,VENTURE,A,2000,11.45,0,0.02,N,6
43,43457,RENT,2,EDUCATION,D,35000,10.99,0,0.81,N,5
37,22633,RENT,14,MEDICAL,A,3000,9.33,0,0.13,N,17
46,64936,RENT,0,PERSONAL,D,7500,9.75,0,0.12,N,3
28,60393,MORTGAGE,1,PERSONAL,A,30000,10.77,0,0.5,N,27
49,86582,RENT,13,DEBTCONSOLIDATION,B,5000,20.82,0,0.06,Y,17
46,58384,RENT,8,MEDICAL,A,5000,17.53,0,0.09,N,19
30,37250,OWN,10,EDUCATION,B,20000,6.14,0,0.54,Y,3
46,92488,RENT,2,VENTURE,D,7500,18.96,0,0.08,N,17
54,97099,RENT,7,VENTURE,A,5000,15.13,0,0.05,N,2
61,55083,RENT,10,EDUCATION,F,5000,19.25,0,0.09,N,17
27,50521,RENT,8,EDUCATION,B,15000,10.47,0,0.3,N,4
24,25295,RENT,6,HOMEIMPROVEMENT,F,35000,12.43,1,1.38,Y,16
31,36179,OWN,15,EDUCATION,B,30000,19.34,1,0.83,N,12
49,71709,RENT,9,HOMEIMPROVEMENT,B,7500,9.36,0,0.1,N,11
56,37099,MORTGAGE,15,PERSONAL,C,10000,19.65,0,0.27,N,18
45,23660,RENT,10,VENTURE,A,15000,18.26,1,0.63,Y,5
41,281514,OWN,10,EDUCATION,E,35000,20.69,0,0.12,N,18
56,23583,MORTGAGE,1,DEBTCONSOLIDATION,C,3000,10.19,0,0.13,N,5
30,151505,OWN,4,EDUCATION,D,10000,8.77,1,0.07,N,20
57,42036,RENT,13,PERSONAL,B,25000,10.29,0,0.59,N,26
29,46991,OWN,3,MEDICAL,D,35000,20.27,1,0.74,N,2
44,35026,OWN,1,DEBTCONSOLIDATION,C,3000,10.33,0,0.09,N,15
55,72505,MORTGAGE,4,DEBTCONSOLIDATION,D,5000,14.04,1,0.07,Y,25
55,23863,RENT,2,MEDICAL,B,5000,11.46,0,0.21,N,12
56,19532,RENT,15,MEDICAL,F,1000,11.34,0,0.05,N,26
38,109654,RENT,14,DEBTCONSOLIDATION,F,20000,8.09,0,0.18,Y,29
59,32794,RENT,6,DEBTCONSOLIDATION,E,20000,13.59,0,0.61,N,8
52,71185,MORTGAGE,0,VENTURE,C,20000,18.59,0,0.28,N,18
44,28488,MORTGAGE,10,HOMEIMPROVEMENT,C,2000,5.79,0,0.07,N,5
43,69857,MORTGAGE,8,PERSONAL,A,2000,19.23,0,0.03,N,11
52,113751,RENT,15,EDUCATION,F,5000,15.65,0,0.04,N,18
57,37663,RENT,7,EDUCATION,F,7500,14.87,0,0.2,N,5
32,18643,RENT,4,VENTURE,A,25000,15.01,1,1.34,N,20
33,114050,RENT,6,PERSONAL,B,3000,9.74,0,0.03,Y,19
43,77895,MORTGAGE,15,EDUCATION,E,1000,11.64,0,0.01,N,18
45,38685,RENT,9,MEDICAL,A,10000,17.79,0,0.26,N,7
55,43959,MORTGAGE,9,PERSONAL,B,10000,9.9,0,0.23,Y,29
61,28132,MORTGAGE,3,EDUCATION,F,10000,12.52,1,0.36,N,8
50,99720,OWN,10,EDUCATION,E,30000,5.31,1,0.3,Y,7
37,37520,RENT,10,HOMEIMPROVEMENT,E,2000,16.74,0,0.05,N,26
40,24116,MORTGAGE,4,MEDICAL,A,25000,11.68,1,1.04,Y,13
45,54547,RENT,6,MEDICAL,B,7500,13.41,0,0.14,Y,10
42,31888,RENT,3,VENTURE,C,7500,6.84,0,0.24,Y,19
33,29289,MORTGAGE,3,DEBTCONSOLIDATION,C,35000,20.87,1,1.19,N,3
39,39535,MORTGAGE,0,VENTURE,B,5000,9.84,0,0.13,N,26
56,51183,RENT,3,MEDICAL,E,20000,15.16,1,0.39,N,18
32,24574,RENT,7,DEBTCONSOLIDATION,E,7500,14.3,0,0.31,N,22
61,97985,MORTGAGE,0,PERSONAL,B,15000,17.56,1,0.15,N,2
39,68773,RENT,3,PERSONAL,B,25000,9.7,0,0.36,N,24
32,40835,MORTGAGE,14,VENTURE,A,30000,17.09,1,0.73,N,10
29,31204,OWN,8,VENTURE,C,30000,11.12,0,0.96,N,7
27,46881,MORTGAGE,8,VENTURE,A,20000,11.58,0,0.43,N,3
48,76858,MORTGAGE,5,HOMEIMPROVEMENT,C,5000,15.76,0,0.07,N,7
34,71131,MORTGAGE,9,VENTURE,C,20000,17.55,0,0.28,N,10
51,83220,OWN,2,DEBTCONSOLIDATION,E,25000,15.67,1,0.3,N,4
39,38553,MORTGAGE,12,VENTURE,B,1000,19.4,0,0.03,N,17
36,11356,RENT,1,MEDICAL,C,10000,9.56,1,0.88,N,26
25,91482,RENT,9,PERSONAL,D,30000,19.41,1,0.33,N,25
55,45089,OTHER,4,EDUCATION,C,15000,7.09,0,0.33,N,16
32,68396,RENT,10,MEDICAL,F,7500,15.55,1,0.11,Y,13
45,112940,MORTGAGE,7,DEBTCONSOLIDATION,C,30000,13.76,0,0.27,N,24
41,165579,OWN,5,VENTURE,E,3000,12.91,0,0.02,N,9
56,35422,MORTGAGE,2,EDUCATION,B,5000,9.97,0,0.14,N,27
43,52416,RENT,8,PERSONAL,C,20000,13.06,1,0.38,N,7
36,97092,RENT,15,EDUCATION,C,10000,7.59,0,0.1,Y,4
59,32140,RENT,12,DEBTCONSOLIDATION,F,25000,10.91,0,0.78,N,24
62,36641,RENT,0,EDUCATION,B,3000,6.58,0,0.08,N,5
59,36533,OWN,4,VENTURE,A,5000,14.15,0,0.14,N,28
34,48337,MORTGAGE,15,VENTURE,C,3000,6.53,0,0.06,Y,11
51,43911,MORTGAGE,6,PERSONAL,B,35000,7.57,1,0.8,N,15
25,36428,RENT,9,MEDICAL,D,10000,6.37,0,0.27,N,22
55,30246,RENT,15,PERSONAL,F,7500,11.1,0,0.25,N,25
43,73568,RENT,14,DEBTCONSOLIDATION,F,1000,18.47,0,0.01,N,16
49,95694,RENT,6,DEBTCONSOLIDATION,B,3000,19.51,0,0.03,N,8
63,102883,MORTGAGE,5,DEBTCONSOLIDATION,B,10000,6.15,0,0.1,Y,8
31,38540,MORTGAGE,4,DEBTCONSOLIDATION,C,2000,15.15,0,0.05,N,9
38,75121,RENT,10,EDUCATION,C,15000,15.95,0,0.2,N,11
32,55169,MORTGAGE,3,EDUCATION,D,10000,13.54,0,0.18,N,20
29,36851,OTHER,3,DEBTCONSOLIDATION,D,25000,15.67,1,0.68,N,20
30,70764,RENT,4,DEBTCONSOLIDATION,C,20000,8.74,1,0.28,Y,3
64,36015,MORTGAGE,2,VENTURE,A,10000,12.83,0,0.28,Y,16
37,40615,RENT,9,VENTURE,D,5000,11.25,0,0.12,Y,2
58,24627,MORTGAGE,8,MEDICAL,A,25000,6.44,0,1.02,N,11
27,38866,RENT,6,MEDICAL,A,25000,15.01,1,0.64,N,7
33,55655,MORTGAGE,5,VENTURE,D,3000,12.92,0,0.05,N,23
60,107416,RENT,15,HOMEIMPROVEMENT,C,35000,9.4,0,0.33,N,14
62,41078,RENT,0,PERSONAL,D,2000,12.58,1,0.05,N,11
29,29170,OWN,10,MEDICAL,B,2000,17.4,0,0.07,N,13
47,103640,RENT,15,MEDICAL,A,5000,17.83,0,0.05,N,25
22,38090,RENT,5,EDUCATION,B,35000,15.39,1,0.92,N,7
25,20451,MORTGAGE,7,PERSONAL,C,15000,12.48,0,0.73,Y,7
49,52393,RENT,15,HOMEIMPROVEMENT,B,25000,14.21,1,0.48,N,2
57,41673,MORTGAGE,2,DEBTCONSOLIDATION,D,5000,11.16,0,0.12,N,13
58,154847,MORTGAGE,6,HOMEIMPROVEMENT,D,15000,7.02,0,0.1,N,24
39,62173,RENT,6,VENTURE,C,10000,11.17,0,0.16,N,24
28,45561,RENT,3,PERSONAL,E,30000,13.49,0,0.66,N,11
21,30876,MORTGAGE,12,HOMEIMPROVEMENT,E,1000,14.58,1,0.03,N,26
42,57819,RENT,15,PERSONAL,E,5000,19.97,1,0.09,N,15
37,101554,OWN,11,HOMEIMPROVEMENT,D,3000,17.44,0,0.03,N,16
27,57291,RENT,2,DEBTCONSOLIDATION,B,30000,7.43,0,0.52,Y,29
45,32089,MORTGAGE,1,MEDICAL,C,15000,7.79,0,0.47,N,24
24,64177,OWN,8,PERSONAL,D,10000,6.61,1,0.16,N,25
56,47843,MORTGAGE,0,PERSONAL,B,10000,16.81,0,0.21,N,5
26,61347,RENT,9,EDUCATION,D,35000,16.3,1,0.57,N,26
51,41052,MORTGAGE,7,MEDICAL,C,30000,20.78,0,0.73,N,2
39,40572,MORTGAGE,9,HOMEIMPROVEMENT,A,25000,13.35,1,0.62,Y,9
64,39779,MORTGAGE,8,DEBTCONSOLIDATION,C,7500,18.22,0,0.19,N,4
59,78520,RENT,5,MEDICAL,A,3000,14.22,0,0.04,N,15
47,40777,MORTGAGE,2,MEDICAL,A,35000,18.99,0,0.86,N,18
30,38953,RENT,3,VENTURE,E,10000,16.54,1,0.26,N,3
46,30606,RENT,6,PERSONAL,C,7500,15.29,0,0.25,N,16
39,61513,MORTGAGE,9,PERSONAL,C,15000,14.04,1,0.24,N,7
59,57288,RENT,11,VENTURE,B,35000,16.57,1,0.61,N,6
23,39168,MORTGAGE,10,PERSONAL,C,10000,11.71,0,0.26,N,15
33,34382,OWN,15,EDUCATION,B,15000,6.55,0,0.44,N,20
48,125252,OWN,3,PERSONAL,D,30000,5.64,0,0.24,N,10
40,19144,MORTGAGE,0,MEDICAL,E,10000,12.66,1,0.52,N,9
48,62729,MORTGAGE,4,MEDICAL,E,5000,14.59,0,0.08,N,4
28,93498,RENT,10,MEDICAL,A,35000,6.26,0,0.37,N,19
61,9014,MORTGAGE,5,PERSONAL,C,35000,9.59,0,3.88,N,9
59,72916,RENT,12,HOMEIMPROVEMENT,E,30000,10.15,0,0.41,N,17
21,43908,RENT,7,DEBTCONSOLIDATION,A,20000,14.0,0,0.46,N,16
23,55716,MORTGAGE,15,VENTURE,A,7500,9.46,0,0.13,N,22
33,41705,RENT,15,PERSONAL,E,35000,6.53,0,0.84,N,16
48,83926,RENT,0,EDUCATION,D,7500,7.64,0,0.09,Y,17
45,58780,MORTGAGE,5,MEDICAL,C,30000,7.78,0,0.51,N,26
53,52357,RENT,8,DEBTCONSOLIDATION,A,35000,18.48,1,0.67,Y,2
58,31274,RENT,3,PERSONAL,C,20000,9.55,0,0.64,Y,11
26,125636,RENT,5,VENTURE,B,30000,16.44,1,0.24,Y,20
64,49264,MORTGAGE,9,MEDICAL,C,25000,14.09,1,0.51,N,6
52,154030,MORTGAGE,2,HOMEIMPROVEMENT,C,5000,20.63,0,0.03,N,19
41,128512,MORTGAGE,8,HOMEIMPROVEMENT,C,20000,9.37,0,0.16,N,4
36,20147,RENT,9,EDUCATION,D,2000,7.53,0,0.1,N,5
41,35331,MORTGAGE,1,DEBTCONSOLIDATION,D,15000,5.83,0,0.42,N,5
31,29188,MORTGAGE,6,EDUCATION,D,3000,8.86,0,0.1,N,12
57,47853,RENT,3,VENTURE,B,10000,15.95,0,0.21,Y,10
56,53829,RENT,10,EDUCATION,B,30000,6.36,0,0.56,N,2
55,54993,MORTGAGE,2,EDUCATION,A,35000,8.92,0,0.64,N,29
39,83038,MORTGAGE,15,EDUCATION,C,7500,18.68,0,0.09,N,26
40,103444,MORTGAGE,5,HOMEIMPROVEMENT,F,15000,14.33,0,0.15,N,17
38,79518,RENT,2,DEBTCONSOLIDATION,D,15000,6.11,0,0.19,N,10
61,37031,MORTGAGE,5,EDUCATION,B,35000,5.76,1,0.95,N,12
34,33156,MORTGAGE,5,VENTURE,B,15000,5.98,0,0.45,N,7
35,49088,MORTGAGE,5,MEDICAL,A,20000,20.07,1,0.41,N,28
51,60661,MORTGAGE,7,MEDICAL,B,35000,18.6,1,0.58,Y,18
21,44730,OWN,6,DEBTCONSOLIDATION,C,10000,18.52,0,0.22,N,28
23,25015,OWN,1,EDUCATION,B,35000,19.79,1,1.4,N,13
36,68942,MORTGAGE,0,VENTURE,B,35000,13.08,0,0.51,N,23
43,40289,MORTGAGE,10,PERSONAL,A,35000,8.96,0,0.87,N,9
31,39685,RENT,7,EDUCATION,D,7500,11.42,0,0.19,Y,17
32,47700,MORTGAGE,4,PERSONAL,C,10000,16.5,0,0.21,N,6
30,43479,MORTGAGE,12,HOMEIMPROVEMENT,E,30000,19.02,1,0.69,N,22
52,40812,RENT,5,DEBTCONSOLIDATION,B,10000,11.96,0,0.25,N,2
36,25846,RENT,11,EDUCATION,E,20000,13.57,0,0.77,N,18
28,46345,RENT,3,DEBTCONSOLIDATION,C,3000,19.91,0,0.06,N,25
58,69666,RENT,0,HOMEIMPROVEMENT,B,2000,6.72,0,0.03,N,22
32,55956,RENT,15,MEDICAL,B,10000,18.8,0,0.18,N,9
44,78752,RENT,5,MEDICAL,B,15000,7.55,0,0.19,N,11
48,34054,MORTGAGE,11,EDUCATION,C,10000,12.74,0,0.29,Y,19
28,25873,RENT,3,MEDICAL,A,15000,8.49,0,0.58,N,16
48,43350,RENT,8,VENTURE,E,15000,14.65,1,0.35,Y,21
56,36057,OWN,14,MEDICAL,A,20000,13.94,0,0.55,N,14
46,37980,RENT,0,EDUCATION,C,20000,11.08,0,0.53,N,28
28,54495,OWN,13,MEDICAL,B,10000,18.81,0,0.18,Y,11
48,38118,MORTGAGE,7,PERSONAL,C,10000,15.56,0,0.26,N,10
48,26238,RENT,8,VENTURE,E,3000,16.54,1,0.11,Y,14
57,37067,RENT,6,VENTURE,F,15000,7.41,1,0.4,N,4
61,58106,RENT,14,EDUCATION,A,20000,19.13,0,0.34,N,23
56,68578,RENT,0,PERSONAL,B,15000,7.67,0,0.22,N,28
47,68234,RENT,3,MEDICAL,E,7500,8.56,0,0.11,Y,24
37,60611,RENT,14,HOMEIMPROVEMENT,B,25000,7.05,1,0.41,N,4
29,45069,RENT,10,MEDICAL,D,2000,12.05,0,0.04,N,2
53,60021,MORTGAGE,0,EDUCATION,F,35000,19.2,1,0.58,Y,3
40,47994,RENT,6,EDUCATION,D,1000,9.04,0,0.02,N,12
33,51872,MORTGAGE,6,MEDICAL,A,35000,10.98,0,0.67,N,15
48,30648,RENT,5,EDUCATION,E,15000,18.54,1,0.49,N,11
49,50108,MORTGAGE,3,VENTURE,F,10000,14.89,1,0.2,N,8
33,59238,RENT,9,DEBTCONSOLIDATION,D,5000,17.03,1,0.08,Y,24
55,58137,MORTGAGE,2,MEDICAL,C,1000,8.42,0,0.02,Y,29
26,25751,RENT,11,VENTURE,F,7500,16.46,0,0.29,N,2
38,51437,MORTGAGE,12,DEBTCONSOLIDATION,F,2000,8.64,0,0.04,Y,27
25,23814,RENT,5,PERSONAL,F,20000,20.8,1,0.84,Y,8
45,53467,MORTGAGE,3,EDUCATION,C,7500,13.96,0,0.14,N,16
22,34521,RENT,3,MEDICAL,D,25000,16.13,1,0.72,N,27
30,115015,MORTGAGE,6,HOMEIMPROVEMENT,D,5000,6.89,0,0.04,N,12
50,52032,RENT,10,DEBTCONSOLIDATION,B,35000,9.01,0,0.67,N,7
25,73173,RENT,4,EDUCATION,C,15000,7.24,0,0.2,N,28
53,140847,RENT,8,MEDICAL,D,3000,11.24,0,0.02,N,23
21,32574,RENT,5,DEBTCONSOLIDATION,E,10000,9.55,0,0.31,N,8
38,60951,MORTGAGE,3,PERSONAL,E,5000,16.73,0,0.08,N,8
52,27093,OWN,0,DEBTCONSOLIDATION,B,5000,6.74,0,0.18,N,2
31,58247,RENT,0,MEDICAL,C,15000,17.03,0,0.26,N,11
41,118522,MORTGAGE,2,HOMEIMPROVEMENT,C,20000,5.73,0,0.17,Y,22
46,35812,MORTGAGE,5,DEBTCONSOLIDATION,E,35000,8.23,0,0.98,Y,16
45,31477,MORTGAGE,13,EDUCATION,A,15000,17.67,1,0.48,Y,9
